Sprite,X,Y,W,H,Frames,Anchor,Fps
whitesword_item_right,64,224,16,8,1,center,10
whitesword_item_left,64,232,16,8,1,center,10
whitesword_effect_NW,80,224,8,10,1,center,10
whitesword_effect_NE,88,224,8,10,1,center,10
whitesword_effect_SW,80,234,8,10,1,center,10
whitesword_effect_SE,88,234,8,10,1,center,10
magicsword_up,96,224,8,16,1,center,10
magicsword_down,104,224,8,16,1,center,10
magicsword_right,112,224,16,8,1,center,10
magicsword_left,112,232,16,8,1,center,10
magicsword_effect_NW,128,224,8,10,1,center,10
magicsword_effect_NE,136,224,8,10,1,center,10
magicsword_effect_SW,128,234,8,10,1,center,10
magicsword_effect_SE,136,234,8,10,1,center,10
darksword_up,144,224,8,16,1,center,10
darksword_down,152,224,8,16,1,center,10
darksword_right,160,224,16,8,1,center,10
darksword_left,160,232,16,8,1,center,10
darksword_effect_NW,176,224,8,10,1,center,10
darksword_effect_NE,184,224,8,10,1,center,10
darksword_effect_SW,176,234,8,10,1,center,10
darksword_effect_SE,184,234,8,10,1,center,10
magicrod_item_up,192,224,8,16,1,center,10
magicrod_item_down,200,224,8,16,1,center,10
magicrod_item_right,208,224,16,8,1,center,10
magicrod_item_left,208,232,16,8,1,center,10
slash_green_up,224,224,16,16,1,center,10
slash_green_down,224,240,16,16,1,center,10
slash_black_up,240,224,16,16,1,center,10
slash_black_down,240,240,16,16,1,center,10
slash_red_up,256,224,16,16,1,center,10
slash_red_down,256,240,16,16,1,center,10
slash_blue_up,272,224,16,16,1,center,10
slash_blue_down,272,240,16,16,1,center,10
slash_green_right,288,224,16,16,1,center,10
slash_green_left,288,240,16,16,1,center,10
slash_black_right,304,224,16,16,1,center,10
slash_black_left,304,240,16,16,1,center,10
slash_red_right,320,224,16,16,1,center,10
slash_red_left,320,240,16,16,1,center,10
slash_blue_right,336,224,16,16,1,center,10
slash_blue_left,336,240,16,16,1,center,10
arrow_green_up,0,256,8,16,1,center,10
arrow_green_down,8,256,8,16,1,center,10
arrow_green_right,16,256,16,8,1,center,10
arrow_green_left,16,264,16,8,1,center,10
arrow_blue_up,32,256,8,16,1,center,10
arrow_blue_down,40,256,8,16,1,center,10
arrow_blue_right,48,256,16,8,1,center,10
arrow_blue_left,48,264,16,8,1,center,10
poof,64,256,8,8,1,center,10
boomerang,80,256,8,8,8,center,10
boomerang_blue,80,264,8,8,8,center,10
bomb,144,256,16,16,1,center,10
cloud,160,256,16,16,3,center,10
fire,208,256,16,16,2,center,10
smoke_orange,240,256,16,16,1,center,10
smoke_red,256,256,16,16,1,center,10
smoke_yellow,272,256,16,16,1,center,10
smoke_blue,288,256,16,16,1,center,10
ladder,304,256,16,16,1,center,10
meat,320,256,16,16,1,center,10
hurt_down,256,288,16,16,4,center,10
hurt_right,256,304,16,16,4,center,10
hurt_up,256,320,16,16,4,center,10
hurt_left,256,336,16,16,4,center,10
hurt_magicshield_down,320,288,16,16,4,center,10
hurt_magicshield_right,320,304,16,16,4,center,10
hurt_magicshield_up,320,320,16,16,4,center,10
hurt_magicshield_left,320,336,16,16,4,center,10
